merchant_id,merchant_name,merchant_category_code,merchant_city,merchant_country_code,merchant_country,merchant_region_code,ICA_code,issr_id,acquirer_id
MES00100,ElectroHub Madrid 100,5732,Madrid,ES,Spain,EMEA,100100,ISSR_ES_145,ACQ_EMEA_502
MSG00176,FinServe Online Singapore 176,6012,Singapore,SG,Singapore,APAC,100176,ISSR_SG_158,ACQ_APAC_703
MJP00125,QuickBite Osaka 125,5814,Osaka,JP,Japan,APAC,100125,ISSR_JP_287,ACQ_APAC_703
MES00025,FinServe Online Madrid 025,6012,Madrid,ES,Spain,EMEA,100025,ISSR_ES_241,ACQ_EMEA_502
MFR00122,UrbanTable Paris 122,5812,Paris,FR,France,EMEA,100122,ISSR_FR_229,ACQ_EMEA_502
MUS00055,FreshMart San Francisco 055,5411,San Francisco,US,United States,NA,100055,ISSR_US_205,ACQ_NA_403
MFR00192,EduPrime Paris 192,8220,Paris,FR,France,EMEA,100192,ISSR_FR_229,ACQ_EMEA_501
MGB00168,MetroFuel London 168,5541,London,GB,United Kingdom,EMEA,100168,ISSR_GB_118,ACQ_EMEA_501
MCA00093,QuickBite Toronto 093,5814,Toronto,CA,Canada,NA,100093,ISSR_CA_214,ACQ_NA_401
MGB00054,ElectroHub Manchester 054,5732,Manchester,GB,United Kingdom,EMEA,100054,ISSR_GB_224,ACQ_EMEA_502
MES00062,ElectroHub Madrid 062,5732,Madrid,ES,Spain,EMEA,100062,ISSR_ES_145,ACQ_EMEA_503
MUS00057,UrbanTable New York 057,5812,New York,US,United States,NA,100057,ISSR_US_319,ACQ_NA_401
MCA00101,EduPrime Toronto 101,8220,Toronto,CA,Canada,NA,100101,ISSR_CA_110,ACQ_NA_402
MIN00021,FreshMart Bengaluru 021,5411,Bengaluru,IN,India,APAC,100021,ISSR_IN_188,ACQ_APAC_703
MUS00142,SkyJet Travel New York 142,4511,New York,US,United States,NA,100142,ISSR_US_205,ACQ_NA_402
MDE00155,MetroFuel Berlin 155,5541,Berlin,DE,Germany,EMEA,100155,ISSR_DE_238,ACQ_EMEA_502
MCA00081,StreamSphere Vancouver 081,4899,Vancouver,CA,Canada,NA,100081,ISSR_CA_214,ACQ_NA_403
MSG00033,UrbanTable Singapore 033,5812,Singapore,SG,Singapore,APAC,100033,ISSR_SG_158,ACQ_APAC_703
MGB00188,QuickBite London 188,5814,London,GB,United Kingdom,EMEA,100188,ISSR_GB_118,ACQ_EMEA_501
MHK00053,QuickBite Hong Kong 053,5814,Hong Kong,HK,Hong Kong,APAC,100053,ISSR_HK_181,ACQ_APAC_703
MCA00209,FinServe Online Vancouver 209,6012,Vancouver,CA,Canada,NA,100209,ISSR_CA_110,ACQ_NA_403
MAE00076,MarketSquare Dubai 076,5311,Dubai,AE,United Arab Emirates,MEA,100076,ISSR_AE_266,ACQ_MEA_602
MIN00017,SkyJet Travel Bengaluru 017,4511,Bengaluru,IN,India,APAC,100017,ISSR_IN_302,ACQ_APAC_702
MFR00072,QuickBite Paris 072,5814,Paris,FR,France,EMEA,100072,ISSR_FR_126,ACQ_EMEA_502
MJP00157,UrbanTable Tokyo 157,5812,Tokyo,JP,Japan,APAC,100157,ISSR_JP_174,ACQ_APAC_701
MAU00206,CloudStay Melbourne 206,7011,Melbourne,AU,Australia,APAC,100206,ISSR_AU_276,ACQ_APAC_701
MCA00143,PharmaDirect Vancouver 143,5912,Vancouver,CA,Canada,NA,100143,ISSR_CA_214,ACQ_NA_403
MDE00111,QuickBite Berlin 111,5814,Berlin,DE,Germany,EMEA,100111,ISSR_DE_132,ACQ_EMEA_502
MIN00082,MetroFuel Bengaluru 082,5541,Bengaluru,IN,India,APAC,100082,ISSR_IN_302,ACQ_APAC_701
MGB00163,FreshMart Manchester 163,5411,Manchester,GB,United Kingdom,EMEA,100163,ISSR_GB_224,ACQ_EMEA_502
MUS00130,CloudStay San Francisco 130,7011,San Francisco,US,United States,NA,100130,ISSR_US_101,ACQ_NA_401
MDE00074,MetroFuel Berlin 074,5541,Berlin,DE,Germany,EMEA,100074,ISSR_DE_238,ACQ_EMEA_502
MGB00145,ElectroHub London 145,5732,London,GB,United Kingdom,EMEA,100145,ISSR_GB_224,ACQ_EMEA_502
MES00087,Luxura Retail Madrid 087,5651,Madrid,ES,Spain,EMEA,100087,ISSR_ES_145,ACQ_EMEA_503
MGB00094,Luxura Retail Manchester 094,5651,Manchester,GB,United Kingdom,EMEA,100094,ISSR_GB_118,ACQ_EMEA_501
MIN00115,FinServe Online Mumbai 115,6012,Mumbai,IN,India,APAC,100115,ISSR_IN_302,ACQ_APAC_702
MFR00015,EduPrime Paris 015,8220,Paris,FR,France,EMEA,100015,ISSR_FR_126,ACQ_EMEA_502
MNL00051,FinServe Online Amsterdam 051,6012,Amsterdam,NL,Netherlands,EMEA,100051,ISSR_NL_149,ACQ_EMEA_502
MDE00134,PharmaDirect Berlin 134,5912,Berlin,DE,Germany,EMEA,100134,ISSR_DE_132,ACQ_EMEA_502
MGB00064,QuickBite Manchester 064,5814,Manchester,GB,United Kingdom,EMEA,100064,ISSR_GB_224,ACQ_EMEA_501
MUS00086,ElectroHub New York 086,5732,New York,US,United States,NA,100086,ISSR_US_319,ACQ_NA_402
MAU00098,RideNow Melbourne 098,4121,Melbourne,AU,Australia,APAC,100098,ISSR_AU_163,ACQ_APAC_702
MUS00012,RideNow San Francisco 012,4121,San Francisco,US,United States,NA,100012,ISSR_US_319,ACQ_NA_402
MAU00060,Luxura Retail Melbourne 060,5651,Melbourne,AU,Australia,APAC,100060,ISSR_AU_276,ACQ_APAC_703
MAE00035,Luxura Retail Dubai 035,5651,Dubai,AE,United Arab Emirates,MEA,100035,ISSR_AE_152,ACQ_MEA_602
MJP00088,CloudStay Tokyo 088,7011,Tokyo,JP,Japan,APAC,100088,ISSR_JP_174,ACQ_APAC_703
MUS00077,ElectroHub Chicago 077,5732,Chicago,US,United States,NA,100077,ISSR_US_205,ACQ_NA_403
MNL00078,MetroFuel Amsterdam 078,5541,Amsterdam,NL,Netherlands,EMEA,100078,ISSR_NL_255,ACQ_EMEA_502
MDE00071,FreshMart Berlin 071,5411,Berlin,DE,Germany,EMEA,100071,ISSR_DE_132,ACQ_EMEA_503
MUS00179,SkyJet Travel New York 179,4511,New York,US,United States,NA,100179,ISSR_US_319,ACQ_NA_402
MES00092,Luxura Retail Madrid 092,5651,Madrid,ES,Spain,EMEA,100092,ISSR_ES_241,ACQ_EMEA_501
MHK00010,Luxura Retail Hong Kong 010,5651,Hong Kong,HK,Hong Kong,APAC,100010,ISSR_HK_294,ACQ_APAC_703
MDE00146,RideNow Berlin 146,4121,Berlin,DE,Germany,EMEA,100146,ISSR_DE_238,ACQ_EMEA_501
MAE00090,CloudStay Dubai 090,7011,Dubai,AE,United Arab Emirates,MEA,100090,ISSR_AE_152,ACQ_MEA_601
MHK00151,RideNow Hong Kong 151,4121,Hong Kong,HK,Hong Kong,APAC,100151,ISSR_HK_294,ACQ_APAC_703
MCA00068,PharmaDirect Vancouver 068,5912,Vancouver,CA,Canada,NA,100068,ISSR_CA_110,ACQ_NA_401
MJP00026,MediCare Plus Tokyo 026,8099,Tokyo,JP,Japan,APAC,100026,ISSR_JP_287,ACQ_APAC_703
MAU00085,Luxura Retail Melbourne 085,5651,Melbourne,AU,Australia,APAC,100085,ISSR_AU_163,ACQ_APAC_701
MDE00181,Luxura Retail Berlin 181,5651,Berlin,DE,Germany,EMEA,100181,ISSR_DE_132,ACQ_EMEA_503
MJP00121,QuickBite Tokyo 121,5814,Tokyo,JP,Japan,APAC,100121,ISSR_JP_174,ACQ_APAC_703
MGB00069,FreshMart Manchester 069,5411,Manchester,GB,United Kingdom,EMEA,100069,ISSR_GB_118,ACQ_EMEA_503
MCA00196,FinServe Online Vancouver 196,6012,Vancouver,CA,Canada,NA,100196,ISSR_CA_110,ACQ_NA_403
MUS00047,CloudStay San Francisco 047,7011,San Francisco,US,United States,NA,100047,ISSR_US_205,ACQ_NA_403
MUS00139,FreshMart San Francisco 139,5411,San Francisco,US,United States,NA,100139,ISSR_US_205,ACQ_NA_402
MIN00187,RideNow Mumbai 187,4121,Mumbai,IN,India,APAC,100187,ISSR_IN_302,ACQ_APAC_701
MGB00199,MarketSquare London 199,5311,London,GB,United Kingdom,EMEA,100199,ISSR_GB_118,ACQ_EMEA_502
MAU00056,Luxura Retail Melbourne 056,5651,Melbourne,AU,Australia,APAC,100056,ISSR_AU_276,ACQ_APAC_701
MUS00117,FreshMart Chicago 117,5411,Chicago,US,United States,NA,100117,ISSR_US_319,ACQ_NA_401
MUS00059,RideNow Chicago 059,4121,Chicago,US,United States,NA,100059,ISSR_US_101,ACQ_NA_401
MCA00194,EduPrime Vancouver 194,8220,Vancouver,CA,Canada,NA,100194,ISSR_CA_214,ACQ_NA_401
MGB00046,StreamSphere Manchester 046,4899,Manchester,GB,United Kingdom,EMEA,100046,ISSR_GB_118,ACQ_EMEA_503
MSG00070,StreamSphere Singapore 070,4899,Singapore,SG,Singapore,APAC,100070,ISSR_SG_271,ACQ_APAC_703
MGB00043,PharmaDirect London 043,5912,London,GB,United Kingdom,EMEA,100043,ISSR_GB_118,ACQ_EMEA_503
MCA00016,FinServe Online Vancouver 016,6012,Vancouver,CA,Canada,NA,100016,ISSR_CA_110,ACQ_NA_402
MHK00159,QuickBite Hong Kong 159,5814,Hong Kong,HK,Hong Kong,APAC,100159,ISSR_HK_294,ACQ_APAC_703
MUS00079,SkyJet Travel Chicago 079,4511,Chicago,US,United States,NA,100079,ISSR_US_101,ACQ_NA_401
MNL00167,FinServe Online Amsterdam 167,6012,Amsterdam,NL,Netherlands,EMEA,100167,ISSR_NL_255,ACQ_EMEA_502
MCA00099,Luxura Retail Vancouver 099,5651,Vancouver,CA,Canada,NA,100099,ISSR_CA_110,ACQ_NA_403
MNL00109,FreshMart Amsterdam 109,5411,Amsterdam,NL,Netherlands,EMEA,100109,ISSR_NL_149,ACQ_EMEA_501
MCA00063,CloudStay Toronto 063,7011,Toronto,CA,Canada,NA,100063,ISSR_CA_214,ACQ_NA_401
MUS00023,MediCare Plus Chicago 023,8099,Chicago,US,United States,NA,100023,ISSR_US_205,ACQ_NA_403
MES00058,PharmaDirect Madrid 058,5912,Madrid,ES,Spain,EMEA,100058,ISSR_ES_145,ACQ_EMEA_501
MAU00075,QuickBite Sydney 075,5814,Sydney,AU,Australia,APAC,100075,ISSR_AU_163,ACQ_APAC_703
MJP00032,PharmaDirect Tokyo 032,5912,Tokyo,JP,Japan,APAC,100032,ISSR_JP_174,ACQ_APAC_703
MCA00200,EduPrime Vancouver 200,8220,Vancouver,CA,Canada,NA,100200,ISSR_CA_214,ACQ_NA_403
MFR00042,ElectroHub Paris 042,5732,Paris,FR,France,EMEA,100042,ISSR_FR_229,ACQ_EMEA_502
MSG00083,Luxura Retail Singapore 083,5651,Singapore,SG,Singapore,APAC,100083,ISSR_SG_158,ACQ_APAC_702
MJP00204,MarketSquare Tokyo 204,5311,Tokyo,JP,Japan,APAC,100204,ISSR_JP_174,ACQ_APAC_701
MIN00131,MetroFuel Bengaluru 131,5541,Bengaluru,IN,India,APAC,100131,ISSR_IN_188,ACQ_APAC_702
MES00041,MarketSquare Madrid 041,5311,Madrid,ES,Spain,EMEA,100041,ISSR_ES_241,ACQ_EMEA_503
MGB00001,FinServe Online Manchester 001,6012,Manchester,GB,United Kingdom,EMEA,100001,ISSR_GB_118,ACQ_EMEA_501
MIN00128,StreamSphere Bengaluru 128,4899,Bengaluru,IN,India,APAC,100128,ISSR_IN_302,ACQ_APAC_703
MNL00169,StreamSphere Amsterdam 169,4899,Amsterdam,NL,Netherlands,EMEA,100169,ISSR_NL_149,ACQ_EMEA_501
MSG00050,StreamSphere Singapore 050,4899,Singapore,SG,Singapore,APAC,100050,ISSR_SG_158,ACQ_APAC_702
MCA00156,QuickBite Vancouver 156,5814,Vancouver,CA,Canada,NA,100156,ISSR_CA_214,ACQ_NA_403
MUS00124,PharmaDirect Chicago 124,5912,Chicago,US,United States,NA,100124,ISSR_US_101,ACQ_NA_403
MSG00189,CloudStay Singapore 189,7011,Singapore,SG,Singapore,APAC,100189,ISSR_SG_271,ACQ_APAC_701
MSG00165,MediCare Plus Singapore 165,8099,Singapore,SG,Singapore,APAC,100165,ISSR_SG_158,ACQ_APAC_703
MJP00004,FinServe Online Tokyo 004,6012,Tokyo,JP,Japan,APAC,100004,ISSR_JP_174,ACQ_APAC_701
MES00175,EduPrime Madrid 175,8220,Madrid,ES,Spain,EMEA,100175,ISSR_ES_241,ACQ_EMEA_501
MES00066,ElectroHub Madrid 066,5732,Madrid,ES,Spain,EMEA,100066,ISSR_ES_241,ACQ_EMEA_502
MIN00180,PharmaDirect Bengaluru 180,5912,Bengaluru,IN,India,APAC,100180,ISSR_IN_302,ACQ_APAC_702
MIN00003,ElectroHub Bengaluru 003,5732,Bengaluru,IN,India,APAC,100003,ISSR_IN_302,ACQ_APAC_701
MAE00170,FreshMart Dubai 170,5411,Dubai,AE,United Arab Emirates,MEA,100170,ISSR_AE_152,ACQ_MEA_601
MES00107,EduPrime Madrid 107,8220,Madrid,ES,Spain,EMEA,100107,ISSR_ES_145,ACQ_EMEA_501
MSG00173,FreshMart Singapore 173,5411,Singapore,SG,Singapore,APAC,100173,ISSR_SG_271,ACQ_APAC_703
MAU00089,MarketSquare Sydney 089,5311,Sydney,AU,Australia,APAC,100089,ISSR_AU_276,ACQ_APAC_702
MAU00186,RideNow Melbourne 186,4121,Melbourne,AU,Australia,APAC,100186,ISSR_AU_276,ACQ_APAC_702
MJP00215,StreamSphere Tokyo 215,4899,Tokyo,JP,Japan,APAC,100215,ISSR_JP_287,ACQ_APAC_703
MAU00105,PharmaDirect Melbourne 105,5912,Melbourne,AU,Australia,APAC,100105,ISSR_AU_163,ACQ_APAC_703
MGB00027,FinServe Online Manchester 027,6012,Manchester,GB,United Kingdom,EMEA,100027,ISSR_GB_118,ACQ_EMEA_502
MJP00049,RideNow Osaka 049,4121,Osaka,JP,Japan,APAC,100049,ISSR_JP_174,ACQ_APAC_702
MUS00040,QuickBite New York 040,5814,New York,US,United States,NA,100040,ISSR_US_205,ACQ_NA_401
MGB00141,FinServe Online Manchester 141,6012,Manchester,GB,United Kingdom,EMEA,100141,ISSR_GB_224,ACQ_EMEA_501
MNL00161,EduPrime Amsterdam 161,8220,Amsterdam,NL,Netherlands,EMEA,100161,ISSR_NL_255,ACQ_EMEA_503
MJP00162,MediCare Plus Osaka 162,8099,Osaka,JP,Japan,APAC,100162,ISSR_JP_174,ACQ_APAC_703
MAE00073,MetroFuel Dubai 073,5541,Dubai,AE,United Arab Emirates,MEA,100073,ISSR_AE_152,ACQ_MEA_601
MUS00031,CloudStay San Francisco 031,7011,San Francisco,US,United States,NA,100031,ISSR_US_101,ACQ_NA_402
MIN00113,PharmaDirect Mumbai 113,5912,Mumbai,IN,India,APAC,100113,ISSR_IN_188,ACQ_APAC_702
MUS00116,MarketSquare San Francisco 116,5311,San Francisco,US,United States,NA,100116,ISSR_US_205,ACQ_NA_402
MCA00014,FinServe Online Toronto 014,6012,Toronto,CA,Canada,NA,100014,ISSR_CA_214,ACQ_NA_402
MAU00220,UrbanTable Sydney 220,5812,Sydney,AU,Australia,APAC,100220,ISSR_AU_163,ACQ_APAC_703
MHK00091,ElectroHub Hong Kong 091,5732,Hong Kong,HK,Hong Kong,APAC,100091,ISSR_HK_294,ACQ_APAC_703
MAU00149,MarketSquare Melbourne 149,5311,Melbourne,AU,Australia,APAC,100149,ISSR_AU_276,ACQ_APAC_701
MUS00207,MarketSquare San Francisco 207,5311,San Francisco,US,United States,NA,100207,ISSR_US_101,ACQ_NA_403
MAE00208,EduPrime Dubai 208,8220,Dubai,AE,United Arab Emirates,MEA,100208,ISSR_AE_152,ACQ_MEA_601
MUS00135,ElectroHub Chicago 135,5732,Chicago,US,United States,NA,100135,ISSR_US_205,ACQ_NA_401
MAU00024,CloudStay Melbourne 024,7011,Melbourne,AU,Australia,APAC,100024,ISSR_AU_276,ACQ_APAC_702
MIN00211,PharmaDirect Mumbai 211,5912,Mumbai,IN,India,APAC,100211,ISSR_IN_302,ACQ_APAC_702
MNL00013,EduPrime Amsterdam 013,8220,Amsterdam,NL,Netherlands,EMEA,100013,ISSR_NL_149,ACQ_EMEA_502
MGB00219,UrbanTable London 219,5812,London,GB,United Kingdom,EMEA,100219,ISSR_GB_118,ACQ_EMEA_503
MIN00178,CloudStay Mumbai 178,7011,Mumbai,IN,India,APAC,100178,ISSR_IN_302,ACQ_APAC_702
MCA00096,FreshMart Toronto 096,5411,Toronto,CA,Canada,NA,100096,ISSR_CA_214,ACQ_NA_402
MDE00048,ElectroHub Berlin 048,5732,Berlin,DE,Germany,EMEA,100048,ISSR_DE_132,ACQ_EMEA_502
MIN00022,QuickBite Bengaluru 022,5814,Bengaluru,IN,India,APAC,100022,ISSR_IN_188,ACQ_APAC_702
MJP00158,EduPrime Osaka 158,8220,Osaka,JP,Japan,APAC,100158,ISSR_JP_287,ACQ_APAC_701
MES00217,QuickBite Madrid 217,5814,Madrid,ES,Spain,EMEA,100217,ISSR_ES_145,ACQ_EMEA_502
MDE00052,StreamSphere Berlin 052,4899,Berlin,DE,Germany,EMEA,100052,ISSR_DE_238,ACQ_EMEA_502
MAU00005,QuickBite Melbourne 005,5814,Melbourne,AU,Australia,APAC,100005,ISSR_AU_276,ACQ_APAC_701
MIN00037,SkyJet Travel Mumbai 037,4511,Mumbai,IN,India,APAC,100037,ISSR_IN_302,ACQ_APAC_701
MUS00018,RideNow San Francisco 018,4121,San Francisco,US,United States,NA,100018,ISSR_US_205,ACQ_NA_403
MJP00097,SkyJet Travel Tokyo 097,4511,Tokyo,JP,Japan,APAC,100097,ISSR_JP_287,ACQ_APAC_703
MUS00164,QuickBite New York 164,5814,New York,US,United States,NA,100164,ISSR_US_319,ACQ_NA_401
MJP00002,RideNow Tokyo 002,4121,Tokyo,JP,Japan,APAC,100002,ISSR_JP_174,ACQ_APAC_703
MAE00205,FinServe Online Dubai 205,6012,Dubai,AE,United Arab Emirates,MEA,100205,ISSR_AE_152,ACQ_MEA_602
MGB00160,RideNow Manchester 160,4121,Manchester,GB,United Kingdom,EMEA,100160,ISSR_GB_118,ACQ_EMEA_503
MGB00065,MetroFuel London 065,5541,London,GB,United Kingdom,EMEA,100065,ISSR_GB_118,ACQ_EMEA_503
MHK00195,MetroFuel Hong Kong 195,5541,Hong Kong,HK,Hong Kong,APAC,100195,ISSR_HK_181,ACQ_APAC_701
MNL00030,RideNow Amsterdam 030,4121,Amsterdam,NL,Netherlands,EMEA,100030,ISSR_NL_255,ACQ_EMEA_501
MFR00148,PharmaDirect Paris 148,5912,Paris,FR,France,EMEA,100148,ISSR_FR_126,ACQ_EMEA_502
MIN00029,MarketSquare Bengaluru 029,5311,Bengaluru,IN,India,APAC,100029,ISSR_IN_302,ACQ_APAC_703
MAE00020,EduPrime Dubai 020,8220,Dubai,AE,United Arab Emirates,MEA,100020,ISSR_AE_266,ACQ_MEA_601
MJP00133,QuickBite Osaka 133,5814,Osaka,JP,Japan,APAC,100133,ISSR_JP_287,ACQ_APAC_703
MDE00136,Luxura Retail Berlin 136,5651,Berlin,DE,Germany,EMEA,100136,ISSR_DE_132,ACQ_EMEA_503
MAE00126,QuickBite Dubai 126,5814,Dubai,AE,United Arab Emirates,MEA,100126,ISSR_AE_266,ACQ_MEA_602
MUS00198,Luxura Retail New York 198,5651,New York,US,United States,NA,100198,ISSR_US_205,ACQ_NA_403
MIN00184,CloudStay Mumbai 184,7011,Mumbai,IN,India,APAC,100184,ISSR_IN_302,ACQ_APAC_701
MFR00177,PharmaDirect Paris 177,5912,Paris,FR,France,EMEA,100177,ISSR_FR_229,ACQ_EMEA_502
MJP00028,FreshMart Tokyo 028,5411,Tokyo,JP,Japan,APAC,100028,ISSR_JP_287,ACQ_APAC_702
MCA00102,SkyJet Travel Vancouver 102,4511,Vancouver,CA,Canada,NA,100102,ISSR_CA_214,ACQ_NA_403
MUS00153,StreamSphere Chicago 153,4899,Chicago,US,United States,NA,100153,ISSR_US_101,ACQ_NA_402
MDE00114,MarketSquare Berlin 114,5311,Berlin,DE,Germany,EMEA,100114,ISSR_DE_238,ACQ_EMEA_502
MGB00106,ElectroHub Manchester 106,5732,Manchester,GB,United Kingdom,EMEA,100106,ISSR_GB_118,ACQ_EMEA_501
MUS00129,ElectroHub San Francisco 129,5732,San Francisco,US,United States,NA,100129,ISSR_US_319,ACQ_NA_401
MJP00123,FreshMart Osaka 123,5411,Osaka,JP,Japan,APAC,100123,ISSR_JP_174,ACQ_APAC_703
MES00038,FreshMart Madrid 038,5411,Madrid,ES,Spain,EMEA,100038,ISSR_ES_145,ACQ_EMEA_501
MCA00147,CloudStay Toronto 147,7011,Toronto,CA,Canada,NA,100147,ISSR_CA_214,ACQ_NA_403
MAE00127,FreshMart Dubai 127,5411,Dubai,AE,United Arab Emirates,MEA,100127,ISSR_AE_152,ACQ_MEA_602
MUS00213,StreamSphere Chicago 213,4899,Chicago,US,United States,NA,100213,ISSR_US_101,ACQ_NA_401
MUS00171,ElectroHub Chicago 171,5732,Chicago,US,United States,NA,100171,ISSR_US_101,ACQ_NA_403
MCA00044,MetroFuel Toronto 044,5541,Toronto,CA,Canada,NA,100044,ISSR_CA_110,ACQ_NA_403
MSG00061,PharmaDirect Singapore 061,5912,Singapore,SG,Singapore,APAC,100061,ISSR_SG_271,ACQ_APAC_703
MES00067,MetroFuel Madrid 067,5541,Madrid,ES,Spain,EMEA,100067,ISSR_ES_241,ACQ_EMEA_503
MDE00185,FinServe Online Berlin 185,6012,Berlin,DE,Germany,EMEA,100185,ISSR_DE_238,ACQ_EMEA_502
MAU00084,StreamSphere Melbourne 084,4899,Melbourne,AU,Australia,APAC,100084,ISSR_AU_163,ACQ_APAC_702
MJP00137,FreshMart Osaka 137,5411,Osaka,JP,Japan,APAC,100137,ISSR_JP_287,ACQ_APAC_701
MJP00154,ElectroHub Tokyo 154,5732,Tokyo,JP,Japan,APAC,100154,ISSR_JP_174,ACQ_APAC_701
MGB00191,FreshMart London 191,5411,London,GB,United Kingdom,EMEA,100191,ISSR_GB_224,ACQ_EMEA_502
MIN00011,FreshMart Bengaluru 011,5411,Bengaluru,IN,India,APAC,100011,ISSR_IN_188,ACQ_APAC_701
MUS00150,SkyJet Travel San Francisco 150,4511,San Francisco,US,United States,NA,100150,ISSR_US_101,ACQ_NA_401
MJP00104,SkyJet Travel Osaka 104,4511,Osaka,JP,Japan,APAC,100104,ISSR_JP_287,ACQ_APAC_702
MUS00034,SkyJet Travel New York 034,4511,New York,US,United States,NA,100034,ISSR_US_205,ACQ_NA_402
MJP00108,FinServe Online Tokyo 108,6012,Tokyo,JP,Japan,APAC,100108,ISSR_JP_174,ACQ_APAC_702
MFR00182,PharmaDirect Paris 182,5912,Paris,FR,France,EMEA,100182,ISSR_FR_229,ACQ_EMEA_501
MIN00138,MediCare Plus Mumbai 138,8099,Mumbai,IN,India,APAC,100138,ISSR_IN_302,ACQ_APAC_701
MGB00174,UrbanTable London 174,5812,London,GB,United Kingdom,EMEA,100174,ISSR_GB_118,ACQ_EMEA_503
MUS00216,MetroFuel Chicago 216,5541,Chicago,US,United States,NA,100216,ISSR_US_319,ACQ_NA_401
MJP00214,MediCare Plus Osaka 214,8099,Osaka,JP,Japan,APAC,100214,ISSR_JP_287,ACQ_APAC_702
MJP00036,EduPrime Osaka 036,8220,Osaka,JP,Japan,APAC,100036,ISSR_JP_174,ACQ_APAC_702
MFR00201,Luxura Retail Paris 201,5651,Paris,FR,France,EMEA,100201,ISSR_FR_229,ACQ_EMEA_503
MAU00172,MetroFuel Sydney 172,5541,Sydney,AU,Australia,APAC,100172,ISSR_AU_276,ACQ_APAC_701
MIN00118,SkyJet Travel Mumbai 118,4511,Mumbai,IN,India,APAC,100118,ISSR_IN_302,ACQ_APAC_702
MSG00140,QuickBite Singapore 140,5814,Singapore,SG,Singapore,APAC,100140,ISSR_SG_271,ACQ_APAC_701
MFR00212,MediCare Plus Paris 212,8099,Paris,FR,France,EMEA,100212,ISSR_FR_229,ACQ_EMEA_501
MGB00183,CloudStay Manchester 183,7011,Manchester,GB,United Kingdom,EMEA,100183,ISSR_GB_224,ACQ_EMEA_503
MNL00039,CloudStay Amsterdam 039,7011,Amsterdam,NL,Netherlands,EMEA,100039,ISSR_NL_149,ACQ_EMEA_501
MNL00218,FinServe Online Amsterdam 218,6012,Amsterdam,NL,Netherlands,EMEA,100218,ISSR_NL_149,ACQ_EMEA_502
MAU00095,UrbanTable Sydney 095,5812,Sydney,AU,Australia,APAC,100095,ISSR_AU_276,ACQ_APAC_703
MIN00152,MediCare Plus Bengaluru 152,8099,Bengaluru,IN,India,APAC,100152,ISSR_IN_302,ACQ_APAC_703
MJP00006,QuickBite Tokyo 006,5814,Tokyo,JP,Japan,APAC,100006,ISSR_JP_174,ACQ_APAC_703
MFR00008,MetroFuel Paris 008,5541,Paris,FR,France,EMEA,100008,ISSR_FR_229,ACQ_EMEA_502
MGB00132,PharmaDirect London 132,5912,London,GB,United Kingdom,EMEA,100132,ISSR_GB_224,ACQ_EMEA_502
MDE00197,StreamSphere Berlin 197,4899,Berlin,DE,Germany,EMEA,100197,ISSR_DE_132,ACQ_EMEA_501
MUS00166,MediCare Plus San Francisco 166,8099,San Francisco,US,United States,NA,100166,ISSR_US_319,ACQ_NA_403
MJP00120,StreamSphere Tokyo 120,4899,Tokyo,JP,Japan,APAC,100120,ISSR_JP_287,ACQ_APAC_702
MJP00007,QuickBite Osaka 007,5814,Osaka,JP,Japan,APAC,100007,ISSR_JP_287,ACQ_APAC_702
MUS00190,MetroFuel New York 190,5541,New York,US,United States,NA,100190,ISSR_US_205,ACQ_NA_401
MIN00210,QuickBite Bengaluru 210,5814,Bengaluru,IN,India,APAC,100210,ISSR_IN_188,ACQ_APAC_701
MIN00203,PharmaDirect Mumbai 203,5912,Mumbai,IN,India,APAC,100203,ISSR_IN_302,ACQ_APAC_701
MIN00193,Luxura Retail Mumbai 193,5651,Mumbai,IN,India,APAC,100193,ISSR_IN_188,ACQ_APAC_703
MAU00119,MarketSquare Sydney 119,5311,Sydney,AU,Australia,APAC,100119,ISSR_AU_276,ACQ_APAC_702
MJP00112,CloudStay Osaka 112,7011,Osaka,JP,Japan,APAC,100112,ISSR_JP_174,ACQ_APAC_701
MJP00144,QuickBite Tokyo 144,5814,Tokyo,JP,Japan,APAC,100144,ISSR_JP_174,ACQ_APAC_701
MCA00019,QuickBite Toronto 019,5814,Toronto,CA,Canada,NA,100019,ISSR_CA_110,ACQ_NA_403
MIN00009,SkyJet Travel Bengaluru 009,4511,Bengaluru,IN,India,APAC,100009,ISSR_IN_188,ACQ_APAC_702
MCA00080,MarketSquare Vancouver 080,5311,Vancouver,CA,Canada,NA,100080,ISSR_CA_214,ACQ_NA_401
MJP00045,RideNow Osaka 045,4121,Osaka,JP,Japan,APAC,100045,ISSR_JP_287,ACQ_APAC_703
MIN00103,Luxura Retail Bengaluru 103,5651,Bengaluru,IN,India,APAC,100103,ISSR_IN_302,ACQ_APAC_701
MCA00110,SkyJet Travel Toronto 110,4511,Toronto,CA,Canada,NA,100110,ISSR_CA_110,ACQ_NA_403
MHK00202,FreshMart Hong Kong 202,5411,Hong Kong,HK,Hong Kong,APAC,100202,ISSR_HK_294,ACQ_APAC_701
